Month,TotalNonFarm,Federal
1939-01-01,29923,912
1939-02-01,30100,925
1939-03-01,30280,929
1939-04-01,30094,933
1939-05-01,30299,941
1939-06-01,30502,948
1939-07-01,30419,954
1939-08-01,30663,962
1939-09-01,31031,970
1939-10-01,31411,968
1939-11-01,31470,975
1939-12-01,31542,977
1940-01-01,31603,980
1940-02-01,31715,984
1940-03-01,31825,993
1940-04-01,31701,997
1940-05-01,31879,1007
1940-06-01,31977,1020
1940-07-01,31942,1037
1940-08-01,32352,1051
1940-09-01,32810,1072
1940-10-01,33267,1106
1940-11-01,33669,1139
1940-12-01,34174,1149
1941-01-01,34481,1201
1941-02-01,34843,1225
1941-03-01,35092,1247
1941-04-01,35468,1290
1941-05-01,36182,1335
1941-06-01,36650,1381
1941-07-01,37137,1418
1941-08-01,37544,1472
1941-09-01,37835,1529
1941-10-01,37949,1557
1941-11-01,38024,1601
1941-12-01,38104,1606
1942-01-01,38347,1756
1942-02-01,38512,1834
1942-03-01,38935,1949
1942-04-01,39352,2053
1942-05-01,39771,2134
1942-06-01,40029,2205
1942-07-01,40472,2332
1942-08-01,40988,2583
1942-09-01,41259,2630
1942-10-01,41515,2734
1942-11-01,41674,2825
1942-12-01,41915,2799
1943-01-01,42172,2956
1943-02-01,42393,3027
1943-03-01,42552,3055
1943-04-01,42647,3062
1943-05-01,42596,3082
1943-06-01,42781,3128
1943-07-01,42700,3106
1943-08-01,42546,3025
1943-09-01,42492,3016
1943-10-01,42675,3025
1943-11-01,42821,3050
1943-12-01,42746,3045
1944-01-01,42654,3041
1944-02-01,42538,3030
1944-03-01,42294,3021
1944-04-01,42063,3022
1944-05-01,41985,3028
1944-06-01,41947,3043
1944-07-01,41904,3070
1944-08-01,41850,3095
1944-09-01,41679,3107
1944-10-01,41708,3122
1944-11-01,41711,3144
1944-12-01,41860,3138
1945-01-01,41895,3134
1945-02-01,41897,3134
1945-03-01,41798,3120
1945-04-01,41446,3092
1945-05-01,41304,3065
1945-06-01,41149,3066
